layer,shape,n_params,mean,std,min,max,abs_mean
input_proj.weight,"[256, 235]",60160,0.0001483649102738127,0.020365875214338303,-0.14535824954509735,0.14878301322460175,0.013166017830371857
input_proj.bias,[256],256,-0.0007699254201725125,0.03259819746017456,-0.07184047996997833,0.07334625720977783,0.027111433446407318
temporal.0.weight,"[256, 256]",65536,0.00022160021762829274,0.017397135496139526,-0.09241542220115662,0.08523759245872498,0.013343239203095436
temporal.0.bias,[256],256,-0.007292798720300198,0.030308570712804794,-0.09045261889696121,0.06454776227474213,0.025498617440462112
temporal.3.weight,"[256, 256]",65536,0.0019206060096621513,0.012130459770560265,-0.09472056478261948,0.07790776342153549,0.00770940724760294
temporal.3.bias,[256],256,0.016033072024583817,0.02841988392174244,-0.05430266261100769,0.13308501243591309,0.020365819334983826
gat_layers.0.att_src,"[1, 8, 32]",256,8.338165935128927e-05,0.031007733196020126,-0.10342797636985779,0.11967647075653076,0.02215537428855896
gat_layers.0.att_dst,"[1, 8, 32]",256,-0.0001844893558882177,0.0019487545359879732,-0.008971377275884151,0.008273610845208168,0.0011407656129449606
gat_layers.0.bias,[256],256,1.8318084826773884e-09,2.1203403477443317e-08,-8.214453828259138e-08,1.3619445837775856e-07,1.1907159702673198e-08
gat_layers.0.lin.weight,"[256, 256]",65536,-6.937775469850749e-05,0.01112072728574276,-0.09568632394075394,0.09483140707015991,0.006129621062427759
gat_layers.1.att_src,"[1, 8, 32]",256,-0.001422088942490518,0.08711756020784378,-0.21851451694965363,0.30788031220436096,0.06218983978033066
gat_layers.1.att_dst,"[1, 8, 32]",256,0.000201944523723796,0.0022498606704175472,-0.00860888883471489,0.011878365650773048,0.0013472733553498983
gat_layers.1.bias,[256],256,-1.0065593691876984e-08,1.3840357837580086e-07,-7.35216417524498e-07,7.196629212558037e-07,8.087941694157053e-08
gat_layers.1.lin.weight,"[256, 256]",65536,0.00010093262244481593,0.008458848111331463,-0.07838990539312363,0.0744677484035492,0.004667154513299465
gat_layers.2.att_src,"[1, 8, 256]",2048,4.146084756939672e-05,0.001975422725081444,-0.015206522308290005,0.013604494743049145,0.0011121825082227588
gat_layers.2.att_dst,"[1, 8, 256]",2048,2.630521862556634e-07,8.417708886554465e-05,-0.0005232567200437188,0.0004871688433922827,5.8548248489387333e-05
gat_layers.2.bias,[256],256,1.963033469110087e-08,3.5113220064886264e-07,-1.5175286307567148e-06,2.4668158857821254e-06,2.0935591749093874e-07
gat_layers.2.lin.weight,"[2048, 256]",524288,-6.797558398830006e-06,0.0007786434725858271,-0.01310349628329277,0.014835613779723644,0.000515307649038732
gat_norms.0.module.weight,[256],256,0.36286965012550354,0.05645623803138733,0.3063882887363434,0.5908111333847046,0.36286965012550354
gat_norms.0.module.bias,[256],256,0.0004319373401813209,0.009139074012637138,-0.030249645933508873,0.030448611825704575,0.006938471924513578
gat_norms.0.module.running_mean,[256],256,0.004754876717925072,0.13186809420585632,-0.42555367946624756,0.4685705006122589,0.10129676014184952
gat_norms.0.module.running_var,[256],256,38.98138427734375,71.15685272216797,0.2797175645828247,527.5633544921875,38.98138427734375
gat_norms.0.module.num_batches_tracked,[],1,1560.0,0.0,1560.0,1560.0,1560.0
gat_norms.1.module.weight,[256],256,0.3206602931022644,0.012054448015987873,0.30621862411499023,0.379491925239563,0.3206602931022644
gat_norms.1.module.bias,[256],256,0.002340638544410467,0.008379554376006126,-0.0160214826464653,0.03306611254811287,0.005866517312824726
gat_norms.1.module.running_mean,[256],256,0.0005964062875136733,0.0033861647825688124,-0.010802083648741245,0.010334241203963757,0.0028013049159199
gat_norms.1.module.running_var,[256],256,0.008146691136062145,0.008547533303499222,0.0006829719059169292,0.07201645523309708,0.008146691136062145
gat_norms.1.module.num_batches_tracked,[],1,1560.0,0.0,1560.0,1560.0,1560.0
gat_norms.2.module.weight,[256],256,0.32301369309425354,0.01688479073345661,0.30719584226608276,0.43208950757980347,0.32301369309425354
gat_norms.2.module.bias,[256],256,0.0025515160523355007,0.019649265334010124,-0.047713469713926315,0.05169336125254631,0.016482850536704063
gat_norms.2.module.running_mean,[256],256,-5.479814717546105e-06,0.0012756388168781996,-0.004477533046156168,0.006193256936967373,0.0008706744993105531
gat_norms.2.module.running_var,[256],256,0.00021689044660888612,0.0003871819644700736,7.218482096504886e-06,0.0035886606201529503,0.00021689044660888612
gat_norms.2.module.num_batches_tracked,[],1,1560.0,0.0,1560.0,1560.0,1560.0
classifier.0.weight,"[256, 512]",131072,0.0007504604291170835,0.008877403102815151,-0.04341302067041397,0.08627159893512726,0.004916635807603598
classifier.0.bias,[256],256,0.024881642311811447,0.020690329372882843,-0.00997556559741497,0.07817743718624115,0.025365952402353287
classifier.3.weight,"[2, 256]",512,0.0006865530740469694,0.0787232518196106,-0.1546630710363388,0.15227705240249634,0.06949007511138916
classifier.3.bias,[2],2,0.040996357798576355,0.019027603790163994,0.02196875400841236,0.0600239634513855,0.040996357798576355
